id,name,orig_name,longitude,latitude
41,NB Riverdale Av b/t W 254 St and W 259 St,NB RIVERDALE AV W254ST - W259 ST,-73.90510395000001,40.90427455
42,NB 3 Av b/t 49 St and 44 St,NB 3 AV. 49 ST - 44ST,-73.9723452,40.7536262
43,Beach Channel Dr b/t Beach 108 St and Beach 97 St,EB BCH CHANNEL DR BCH108 ST - BCH97 ST,-73.82558094999999,40.58550125
44,WB Northern Bv b/t Parsons Bv and Union St,WB NORTHERN BV. PARSONS BV - UNION ST,-73.82582595,40.7642831
45,WB Queens Blvd at 36 St,WB QUEENS BLVD @ 36TH ST,-73.9294066,40.7445224
46,SB Pennsylvania Ave at Schroeders Ave,SB PENNSYLVANIA AVE@ SCHROEDERS AVE,-73.88155739999999,40.6475574
47,Southern Bv b/t E 142 St and E 149 St,NB SOUTHERN BV. E142ST - E149 ST,-73.90612815,40.809607150000005
48,Northern Bv b/t 106 St and 114 St,EB NORTHERN BV. 106ST - 114 ST,-73.8592025,40.75804555
49,EB Shore Pkwy b/t West Av and Ocean Pwy,EB SHORE PWY WEST AV- OCEAN PWY,-73.97012444999999,40.583060849999995
50,NB Ralph Ave at Beverley Rd,NB RALPH AVE @ BEVERLEY RD,-73.92017799999999,40.6469183
51,WB Union Trpk at Cross Island Pkwy,WB UNION TRPK @ CROSS ISLAND PKWY,-73.7257973,40.74100929999999
52,Bailey Av b/t W 193 St and W 229 St,NB BAILY AV. W193 ST- W229 ST,-73.90577665,40.87272695
53,EB Forest Av b/t Van Name Av and MLK Expy,EB FOREST AV VAN NAME AV - MLK EXPWY,-74.1501964,40.625319899999994
54,NB West St b/t Barclay St and N Moore St,NB WEST ST. BARCLAYST - N MOORE ST,-74.01285465,40.7173583
55,SB Bruckner Bv b/t Baisley Av and Crosby Av,SB BRCKNR BV BAISLYAV - CROSBY AV,-73.82602259999999,40.835698300000004
